Master, Novice
0, 0
0, 0
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
689, 689
0, 0
1629, 1629
1631, 1631
1632, 1632
1637, 1637
1650, 1650
1658, 1658
1657, 1657
1657, 1657
1651, 1651
1643, 1643
1628, 1628
1628, 1628
1628, 1628
1628, 1628
1628, 1628
1628, 1628
1628, 1628
1628, 1628
1628, 1628
1636, 1636
1712, 1717
1723, 1723
1609, 1609
1623, 1623
1623, 1623
1622, 1622
1627, 1627
1621, 1621
1622, 1622
1631, 1631
1634, 1634
1636, 1636
1638, 1638
1638, 1638
1638, 1638
1638, 1638
1638, 1638
1638, 1638
1638, 1638
1638, 1638
1601, 1601
1406, 1406
1402, 1402
1491, 1491
1401, 1401
1401, 1401
1409, 1409
1422, 1422
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1430, 1430
1184, 1184
1192, 1192
1193, 1193
1189, 1189
1189, 1189
1191, 1191
1191, 1191
1191, 1191
1191, 1191
1191, 1191
1191, 1191
1191, 1191
1191, 1191
1191, 1191
1190, 1190
1382, 1382
1375, 1375
1366, 1366
1362, 1362
1368, 1368
1373, 1373
1371, 1371
1380, 1380
1379, 1379
1379, 1379
1379, 1379
1372, 1372
1443, 1443
1432, 1432
1417, 1417
1409, 1409
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1407, 1407
1404, 1404
1651, 1651
1653, 1653
1653, 1653
1655, 1655
1657, 1657
1661, 1661
1657, 1657
1656, 1656
1644, 1644
1641, 1641
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1653, 1653
1631, 1631
1835, 1835
1846, 1846
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1854, 1854
1860, 1860
1639, 1639
1623, 1623
1624, 1624
1618, 1618
1629, 1629
1624, 1624
1627, 1627
1634, 1634
1634, 1634
1634, 1634
1634, 1634
1634, 1634
1634, 1634
1634, 1634
1634, 1634
1634, 1634
